Subject,Control,Complexity,Start-Month,Start-Day,Start-Hour,Start-Min,Start-Sec,End-Month,End-Day,End-Hour,End-Min,End-Sec
01,none,low,2,13,11,38,59,2,13,11,43,47
01,autoergodic,low,2,13,12,4,54,2,13,12,9,42
01,none,high,2,13,11,57,28,2,13,12,2,16
01,autoergodic,high,2,13,12,11,15,2,13,12,16,3
03,autoergodic,high,2,10,21,8,7,2,10,21,12,55
04,none,low,2,11,12,53,58,2,11,12,58,46
07,none,low,2,12,11,38,29,2,12,11,43,17
07,autoergodic,low,2,12,12,43,11,2,12,12,47,59
07,none,high,2,12,11,31,0,2,12,11,35,48
08,none,low,2,12,14,0,16,2,12,14,5,4
08,none,high,2,12,13,29,43,2,12,13,34,31
08,autoergodic,high,2,12,14,18,20,2,12,14,23,8
09,none,low,2,12,16,29,22,2,12,16,34,10
09,autoergodic,low,2,12,16,50,4,2,12,16,54,52
09,none,high,2,12,15,49,50,2,12,15,54,38
09,autoergodic,high,2,12,17,3,35,2,12,17,8,23
10,autoergodic,high,2,12,17,38,15,2,12,17,43,3
11,none,low,2,12,21,11,19,2,12,21,16,7
11,autoergodic,low,2,12,20,15,31,2,12,20,20,19
11,none,high,2,12,20,6,52,2,12,20,11,40
13,none,low,2,13,16,47,20,2,13,16,52,8
13,autoergodic,low,2,13,16,39,32,2,13,16,44,20
13,none,high,2,13,16,3,22,2,13,16,8,10
13,autoergodic,high,2,13,16,11,36,2,13,16,16,24
14,none,low,2,13,17,53,50,2,13,17,58,38
14,autoergodic,low,2,13,19,4,33,2,13,19,9,21
14,none,high,2,13,18,23,50,2,13,18,28,38
14,autoergodic,high,2,13,18,45,46,2,13,18,50,34
15,none,low,2,14,11,59,34,2,14,12,4,22
15,autoergodic,low,2,14,12,28,21,2,14,12,33,9
15,none,high,2,14,11,49,22,2,14,11,54,10
15,autoergodic,high,2,14,12,54,13,2,14,12,59,1
17,none,low,2,14,18,17,9,2,14,18,21,38
17,autoergodic,low,2,14,19,33,15,2,14,19,37,44
17,none,high,2,14,18,54,39,2,14,18,59,8
17,sharedergodic,high,2,20,11,17,51,2,20,11,22,20
17,autoergodic,high,2,14,19,1,28,2,14,19,5,57
18,none,low,2,14,21,22,3,2,14,21,26,32
18,autoergodic,low,2,14,20,44,32,2,14,20,49,1
18,none,high,2,14,20,51,3,2,14,20,55,32
18,autoergodic,high,2,14,20,37,43,2,14,20,42,12
19,none,low,2,15,13,59,13,2,15,14,4,1
19,autoergodic,low,2,15,14,6,46,2,15,14,11,34
19,none,high,2,15,14,26,23,2,15,14,31,11
19,autoergodic,high,2,15,14,33,58,2,15,14,38,46
20,none,low,2,15,15,29,52,2,15,15,34,40
20,autoergodic,low,2,15,15,16,33,2,15,15,21,21
20,none,high,2,15,15,37,46,2,15,15,42,34
20,autoergodic,high,2,15,16,23,55,2,15,16,28,43
21,none,low,2,15,18,6,59,2,15,18,11,47
21,none,high,2,15,17,56,43,2,15,18,1,31
21,autoergodic,high,2,15,18,26,46,2,15,18,31,34
22,none,low,2,15,20,6,45,2,15,20,11,33
22,autoergodic,low,2,15,19,52,23,2,15,19,57,11
22,none,high,2,15,19,59,54,2,15,20,4,42
22,autoergodic,high,2,15,21,19,47,2,15,21,24,35
23,none,low,2,16,11,32,34,2,16,11,37,22
23,autoergodic,low,2,16,11,50,14,2,16,11,55,2
23,none,high,2,16,11,16,1,2,16,11,20,49
23,autoergodic,high,2,16,11,57,21,2,16,12,2,9
24,none,low,2,16,13,5,51,2,16,13,10,39
24,autoergodic,low,2,16,12,59,17,2,16,13,4,5
24,none,high,2,16,13,12,50,2,16,13,17,38
25,none,low,2,16,16,42,8,2,16,16,46,56
25,autoergodic,low,2,16,15,31,3,2,16,15,35,51
25,none,high,2,16,15,38,33,2,16,15,43,21
25,autoergodic,high,2,16,15,45,51,2,16,15,50,39
