Subject,1,2,3,4,5,6,7,8,9,10
01,8,9,8,7.5,10,10,10,10,9,10
11,6,7,3.5,7,7,8,7,5,8,7
13,7,6,8,9,6,10,9,10,10,5
14,4,7,7,8,9,8,10,9,7,9
15,9,8,9,8,8,10,8,9,7,7
17,7,4,2,6,8,5,6,3,7,8
18,7,8,9,9,10,3,10,9,7,6
20,7,10,9,7,9,9,7,8,8,8
21,7,5,5,7,9,8,9,9,9,8
22,8,3,5,8,5,6,8,9,9,6
23,6,5,7,9,9,6,9,8,9,9
24,8,8,8,7,8,8,9,7,8,9
25,8,10,10,10,9,8,9,8,9,9
26,8,10,9,9,10,10,10,9,10,10
27,8,10,10,10,8,9,5,10,9,9
28,10,8,8,8,6,7,6,7,7,7
29,9,8,7,7,6,7,8,8,8,8
30,10,10,10,10,7,10,9,10,10,10
31,8,9,8,7,6,8,7,8,9,8
32,2,4,8,5,2,6,7,3,6,9
33,7,8,10,8,8,10,10,8,9,9
34,10,9,10,8.5,9,10,9,6.5,8,9
35,7,10,8,6,10,9,9,10,8,8
36,10,8,9,9,8,9,10,8,6,6
37,5,6,7,7,5,3,6,5,4,3
38,3,5,6,7,6,8,8,4,5,9
39,9,8,10,10,10,10,8,9,10,10
40,10,10,10,10,10,10,10,10,8,9
41,9,5,3,4,5,2,8,9,8,5
42,4,7,7,8,7,6,6,8,9,9
