Time,x,y
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
0.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
1.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
2.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
3.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
4.0,23.5,5.5
