Time,x,y,theta
1582157991.0,1.5,12.5,-0.77054595947265625
1582157991.0,1.5,12.5,-0.74464559555053711
1582157991.0,1.5,12.5,-0.74765872955322266
1582157991.0,1.5,12.5,-0.74658584594726562
1582157991.0,1.5,12.5,-0.7503046989440918
1582157991.0,1.5,12.5,-0.75039434432983398
1582157991.0,1.5,12.5,-0.75039148330688477
1582157991.0,1.5,12.5,-0.75060033798217773
1582157992.0,1.5,12.5,-0.75157833099365234
1582157992.0,1.5,12.5,-0.75494575500488281
1582157992.0,1.5,12.5,-0.75851154327392578
1582157992.0,1.5,12.5,-0.75962591171264648
1582157992.0,1.5,12.5,-0.75857830047607422
1582157992.0,1.5,12.5,-0.75829219818115234
1582157992.0,1.5,12.5,-0.75899219512939453
1582157992.0,1.5,12.5,-0.75835847854614258
1582157992.0,1.5,12.5,-0.7575984001159668
1582157992.0,1.5,12.5,-0.75650739669799805
1582157992.0,1.5,12.5,-0.75452947616577148
1582157992.0,1.5,12.5,-0.75435447692871094
1582157992.0,1.5,12.5,-0.75498580932617188
1582157992.0,1.5,12.5,-0.7560734748840332
1582157992.0,1.5,12.5,-0.75662946701049805
1582157992.0,1.5,12.5,-0.75589466094970703
1582157992.0,1.5,12.5,-0.75511503219604492
1582157992.0,1.5,12.5,-0.75403499603271484
1582157992.0,1.5,12.5,-0.75443029403686523
1582157992.0,1.5,12.5,-0.75456428527832031
1582157992.0,1.5,12.5,-0.75323867797851562
1582157992.0,1.5,12.5,-0.75218534469604492
1582157992.0,1.5,12.5,-0.75211238861083984
1582157992.0,1.5,12.5,-0.75334358215332031
1582157992.0,1.5,12.5,-0.75468158721923828
1582157992.0,1.5,12.5,-0.75433731079101562
1582157992.0,1.5,12.5,-0.7541041374206543
1582157993.0,1.5,12.5,-0.75364398956298828
1582157993.0,1.5,12.5,-0.75269746780395508
1582157993.0,1.5,12.5,-0.75187349319458008
1582157993.0,1.5,12.5,-0.75162506103515625
1582157993.0,1.5,12.5,-0.75125217437744141
1582157993.0,1.5,12.5,-0.75145816802978516
1582157993.0,1.5,12.5,-0.75099039077758789
1582157993.0,1.5,12.5,-0.75052309036254883
1582157993.0,1.5,12.5,-0.75063753128051758
1582157993.0,1.5,12.5,-0.75152254104614258
1582157993.0,1.5,12.5,-0.75227880477905273
1582157993.0,1.5,12.5,-0.75107860565185547
1582157993.0,1.5,12.5,-0.74841499328613281
1582157993.0,1.5,12.5,-0.74578714370727539
1582157993.0,1.5,12.5,-0.74469947814941406
1582157993.0,1.5,12.5,-0.74318075180053711
1582157993.0,1.5,12.5,-0.7425837516784668
1582157993.0,1.5,12.5,-0.74283218383789062
1582157993.0,1.5,12.5,-0.74663019180297852
1582157993.0,1.5,12.5,-0.74915027618408203
1582157993.0,1.5,12.5,-0.7488408088684082
1582157993.0,1.5,12.5,-0.74903059005737305
1582157993.0,1.5,12.5,-0.7488560676574707
1582157993.0,1.5,12.5,-0.74622440338134766
1582157994.0,1.5,12.5,-0.74155378341674805
1582157994.0,1.5,12.5,-0.73888444900512695
1582157994.0,1.5,12.5,-0.74152326583862305
1582157994.0,1.5,12.5,-0.74507331848144531
1582157994.0,1.5,12.5,-0.74679660797119141
