Subject,Control,Density,Lives,Treasure,Input,Difficulty,Score
1,none,low,7,5,0,9,26
1,waypoint,low,7,4,7,10,25
1,directergodic,low,7,4,6,8,25
1,sharedergodic,low,8,5,4,9,29
1,autoergodic,low,8,5,0,10,29
1,none,high,8,4,0,10,28
1,waypoint,high,7,3,8,10,24
1,directergodic,high,6,3,6,8,21
1,sharedergodic,high,8,5,3,7.5,29
1,autoergodic,high,6,5,0,10,23
3,directergodic,low,7,2,9,0,23
3,autoergodic,high,8,3,0,0,27
4,none,low,5,4,0,0,19
4,waypoint,low,8,3,14,0,27
4,directergodic,low,8,6,16,0,30
5,none,low,7,3,0,0,24
7,none,low,6,3,0,0,21
7,waypoint,low,6,2,10,0,20
7,directergodic,low,8,3,8,0,27
7,sharedergodic,low,7,3,7,0,24
7,autoergodic,low,7,3,0,0,24
7,none,high,6,2,0,0,20
7,waypoint,high,5,4,6,0,19
7,directergodic,high,6,3,6,0,21
8,none,low,5,3,0,0,18
8,waypoint,low,5,1,12,0,16
8,directergodic,low,6,3,11,0,21
8,sharedergodic,low,6,3,10,0,21
8,none,high,7,4,0,0,25
8,waypoint,high,5,2,10,0,17
8,directergodic,high,8,2,8,0,26
8,sharedergodic,high,6,2,8,0,20
8,autoergodic,high,6,3,0,0,21
9,none,low,6,3,0,0,21
9,directergodic,low,6,3,8,0,21
9,autoergodic,low,8,3,0,0,27
9,none,high,6,3,0,0,21
9,waypoint,high,6,4,12,0,22
9,directergodic,high,6,3,8,0,21
9,sharedergodic,high,6,3,9,0,21
9,autoergodic,high,6,3,0,0,21
10,waypoint,high,5,2,3,0,17
10,directergodic,high,7,3,7,0,24
10,autoergodic,high,6,2,0,0,20
11,none,low,5,3,0,5,18
11,waypoint,low,6,3,25,6,21
11,directergodic,low,7,2,13,7,23
11,sharedergodic,low,8,5,18,8,29
11,autoergodic,low,6,4,0,7,22
11,none,high,5,3,0,3.5,18
11,waypoint,high,7,3,13,7,24
11,directergodic,high,8,3,30,7,27
11,sharedergodic,high,8,4,19,8,28
13,none,low,5,2,0,6,17
13,waypoint,low,6,2,14,8,20
13,directergodic,low,5,3,8,9,18
13,sharedergodic,low,8,2,3,10,26
13,autoergodic,low,6,3,0,5,21
13,none,high,6,4,0,6,22
13,waypoint,high,7,2,8,7,23
13,directergodic,high,7,3,6,9,24
13,sharedergodic,high,8,3,4,10,27
13,autoergodic,high,8,3,0,10,27
14,none,low,8,3,0,7,27
14,waypoint,low,8,2,4,4,26
14,directergodic,low,7,3,1,7,24
14,sharedergodic,low,8,1,1,9,25
14,autoergodic,low,8,3,0,7,27
14,none,high,6,3,0,8,21
14,waypoint,high,7,2,3,8,23
14,directergodic,high,8,3,5,9,27
14,sharedergodic,high,8,3,3,9,27
14,autoergodic,high,8,2,0,10,26
15,none,low,8,2,0,9,26
15,directergodic,low,7,3,8,8,24
15,sharedergodic,low,8,2,6,9,26
15,autoergodic,low,8,4,0,10,28
15,none,high,8,2,0,8,26
15,waypoint,high,8,2,9,8,26
15,directergodic,high,8,2,11,7,26
15,sharedergodic,high,8,2,9,8,26
15,autoergodic,high,8,2,0,7,26
17,none,low,7,2,0,2,23
17,waypoint,low,6,2,13,8,20
17,directergodic,low,7,3,13,6,24
17,sharedergodic,low,8,3,17,3,27
17,autoergodic,low,8,3,0,8,27
17,none,high,6,3,0,6,21
17,waypoint,high,5,3,18,5,18
17,directergodic,high,6,3,14,7,21
17,sharedergodic,high,7,2,0,7,23
17,autoergodic,high,6,3,0,4,21
18,none,low,6,3,0,3,21
18,waypoint,low,6,2,19,9,20
18,directergodic,low,7,4,14,10,25
18,autoergodic,low,5,3,0,8,18
18,none,high,8,3,0,9,27
18,waypoint,high,8,3,22,10,27
18,directergodic,high,6,3,13,7,21
18,sharedergodic,high,7,3,14,9,24
18,autoergodic,high,6,3,0,7,21
19,none,low,7,2,0,0,23
19,waypoint,low,8,3,3,0,27
19,directergodic,low,7,4,1,0,25
19,autoergodic,low,8,2,0,0,26
19,none,high,5,3,0,0,18
19,waypoint,high,6,2,4,0,20
19,sharedergodic,high,8,3,5,0,27
19,autoergodic,high,8,3,0,0,27
20,none,low,8,3,0,9,27
20,waypoint,low,8,2,11,7,26
20,directergodic,low,8,3,12,9,27
20,sharedergodic,low,8,4,12,9,28
20,autoergodic,low,8,2,0,10,26
20,none,high,8,3,0,7,27
20,waypoint,high,7,3,15,7,24
20,sharedergodic,high,8,3,15,8,27
20,autoergodic,high,8,4,0,8,28
21,none,low,8,3,0,5,27
21,waypoint,low,8,3,0,7,27
21,directergodic,low,8,4,7,9,28
21,sharedergodic,low,8,4,6,8,28
21,none,high,8,3,0,5,27
21,directergodic,high,8,4,5,9,28
21,sharedergodic,high,8,4,3,8,28
21,autoergodic,high,8,4,0,9,28
22,none,low,8,3,0,5,27
22,waypoint,low,8,4,8,6,28
22,directergodic,low,8,4,3,8,28
22,sharedergodic,low,6,4,6,9,22
22,autoergodic,low,7,3,0,8,24
22,none,high,7,3,0,3,24
22,waypoint,high,8,4,7,5,28
22,directergodic,high,7,3,4,6,24
22,sharedergodic,high,8,3,8,8,27
22,autoergodic,high,8,4,0,9,28
23,none,low,7,3,0,9,24
23,waypoint,low,8,3,8,5,27
23,directergodic,low,6,3,9,9,21
23,sharedergodic,low,8,3,9,9,27
23,autoergodic,low,5,3,0,9,18
23,none,high,8,2,0,7,26
23,waypoint,high,6,2,9,6,20
23,directergodic,high,8,3,10,9,27
23,sharedergodic,high,7,3,7,6,24
23,autoergodic,high,8,3,0,8,27
24,none,low,7,4,0,8,25
24,waypoint,low,8,3,13,9,27
24,directergodic,low,8,3,8,7,27
24,sharedergodic,low,8,3,9,8,27
24,autoergodic,low,7,3,0,8,24
