Subject,Control,Complexity,MDP_r
1,none,low,6
1,waypoint,low,6
1,directergodic,low,0
1,sharedergodic,low,0
1,autoergodic,low,6
1,none,high,0
1,waypoint,high,6
1,directergodic,high,3
1,sharedergodic,high,3
1,autoergodic,high,0
8,none,low,0
8,waypoint,low,0
8,directergodic,low,3
8,sharedergodic,low,3
8,autoergodic,low,6
8,none,high,9
8,waypoint,high,0
8,directergodic,high,6
8,sharedergodic,high,6
8,autoergodic,high,6
9,none,low,0
9,directergodic,low,12
9,sharedergodic,low,3
9,autoergodic,low,0
9,none,high,0
9,waypoint,high,0
9,directergodic,high,0
9,sharedergodic,high,0
9,autoergodic,high,3
11,none,low,6
11,waypoint,low,15
11,directergodic,low,0
11,sharedergodic,low,12
11,autoergodic,low,9
11,none,high,9
11,waypoint,high,6
11,directergodic,high,0
11,sharedergodic,high,0
13,none,low,12
13,waypoint,low,6
13,directergodic,low,3
13,sharedergodic,low,3
13,autoergodic,low,3
13,none,high,3
13,waypoint,high,0
13,directergodic,high,0
13,sharedergodic,high,0
13,autoergodic,high,0
14,none,low,0
14,waypoint,low,0
14,directergodic,low,3
14,sharedergodic,low,3
14,autoergodic,low,0
14,none,high,15
14,waypoint,high,0
14,directergodic,high,0
14,sharedergodic,high,3
14,autoergodic,high,0
15,none,low,0
15,directergodic,low,0
15,sharedergodic,low,0
15,autoergodic,low,3
15,none,high,3
15,waypoint,high,0
15,directergodic,high,3
15,sharedergodic,high,3
15,autoergodic,high,0
15,waypoint,high,0
17,none,low,0
17,waypoint,low,3
17,directergodic,low,6
17,sharedergodic,low,0
17,autoergodic,low,3
17,none,high,3
17,waypoint,high,9
17,directergodic,high,0
17,sharedergodic,high,0
17,autoergodic,high,3
18,none,low,9
18,waypoint,low,6
18,directergodic,low,0
18,autoergodic,low,3
18,none,high,3
18,waypoint,high,3
20,none,low,0
20,waypoint,low,0
20,directergodic,low,3
20,sharedergodic,low,3
20,autoergodic,low,12
20,none,high,0
20,waypoint,high,3
20,sharedergodic,high,0
20,autoergodic,high,3
21,none,low,0
21,waypoint,low,0
21,directergodic,low,0
21,sharedergodic,low,0
21,autoergodic,low,0
21,none,high,0
21,directergodic,high,3
21,sharedergodic,high,9
21,autoergodic,high,0
22,none,low,3
22,waypoint,low,12
22,directergodic,low,0
22,sharedergodic,low,0
22,autoergodic,low,6
22,none,high,3
22,waypoint,high,0
22,directergodic,high,0
22,sharedergodic,high,0
22,autoergodic,high,3
24,none,low,6
24,waypoint,low,0
24,directergodic,low,0
24,sharedergodic,low,3
24,autoergodic,low,0
24,none,high,0
24,waypoint,high,3
24,directergodic,high,3
24,sharedergodic,high,6
25,none,low,0
25,waypoint,low,0
25,directergodic,low,6
25,sharedergodic,low,0
25,autoergodic,low,9
25,none,high,0
25,waypoint,high,3
25,directergodic,high,9
25,sharedergodic,high,0
25,autoergodic,high,3
26,none,low,0
26,waypoint,low,0
26,directergodic,low,0
26,sharedergodic,low,4.5
26,autoergodic,low,0
26,none,high,9
26,waypoint,high,0
26,directergodic,high,3
26,sharedergodic,high,0
26,autoergodic,high,3
27,none,low,3
27,waypoint,low,9
27,directergodic,low,0
27,sharedergodic,low,0
27,autoergodic,low,0
27,none,high,3
27,waypoint,high,0
27,directergodic,high,9
27,sharedergodic,high,0
28,none,low,3
28,waypoint,low,0
28,directergodic,low,0
28,sharedergodic,low,0
28,autoergodic,low,0
28,none,high,3
28,waypoint,high,0
28,directergodic,high,0
28,sharedergodic,high,0
28,directergodic,high,0
28,sharedergodic,high,0
29,none,low,0
29,waypoint,low,3
29,directergodic,low,0
29,sharedergodic,low,0
29,autoergodic,low,3
29,none,high,6
29,waypoint,high,9
29,directergodic,high,6
29,sharedergodic,high,0
29,autoergodic,high,6
32,none,low,6
32,waypoint,low,0
32,directergodic,low,0
32,sharedergodic,low,3
32,autoergodic,low,6
32,none,high,0
32,waypoint,high,6
32,directergodic,high,9
32,sharedergodic,high,3
32,autoergodic,high,3
34,none,low,3
34,waypoint,low,0
34,directergodic,low,0
34,sharedergodic,low,3
34,autoergodic,low,0
34,none,high,3
34,waypoint,high,3
34,sharedergodic,high,9
34,autoergodic,high,9
35,none,low,3
35,waypoint,low,9
35,directergodic,low,0
35,sharedergodic,low,0
35,autoergodic,low,6
35,none,high,0
35,waypoint,high,6
35,directergodic,high,0
35,sharedergodic,high,3
36,none,low,0
36,waypoint,low,0
36,directergodic,low,6
36,sharedergodic,low,7
36,autoergodic,low,3
36,none,high,0
36,waypoint,high,0
36,directergodic,high,3
36,sharedergodic,high,3
36,autoergodic,high,0
37,none,low,3
37,waypoint,low,3
37,directergodic,low,0
37,sharedergodic,low,3
37,autoergodic,low,0
37,none,high,0
37,waypoint,high,3
37,directergodic,high,9
37,sharedergodic,high,0
37,autoergodic,high,12
40,none,low,0
40,waypoint,low,3
40,directergodic,low,9.42857142857143
40,sharedergodic,low,0
40,autoergodic,low,12
40,none,high,0
40,waypoint,high,0
40,directergodic,high,9
40,sharedergodic,high,3
40,autoergodic,high,0
41,none,low,0
41,waypoint,low,3
41,directergodic,low,0
41,sharedergodic,low,0
41,autoergodic,low,3
41,none,high,0
41,waypoint,high,3
41,directergodic,high,9
41,sharedergodic,high,3
41,autoergodic,high,3
