Subject,Control,Density,MDP_r
1,none,low,6.55778722549574
1,waypoint,low,8.07995969444627
1,directergodic,low,1.1597551430685
1,sharedergodic,low,1.73165217100133
1,autoergodic,low,7.38439888461342
1,none,high,1.52783288057417
1,waypoint,high,9.40515573523778
1,directergodic,high,3.69365467479699
1,sharedergodic,high,5.82336893172517
1,autoergodic,high,2.18630970870957
8,none,low,0.486216903471089
8,waypoint,low,0.493998833134759
8,directergodic,low,3.9280947724641
8,sharedergodic,low,3.45264167407915
8,autoergodic,low,6.94410435448147
8,none,high,9.697501803625
8,waypoint,high,1.0288271823949
8,directergodic,high,7.08276365724697
8,sharedergodic,high,9.0229286504652
8,autoergodic,high,6.77880508083694
9,none,low,0.259630542323426
9,directergodic,low,12.9133935903328
9,sharedergodic,low,5.25050135646462
9,autoergodic,low,0.277591933418362
9,none,high,0.925128243219647
9,waypoint,high,1.25705557703153
9,directergodic,high,0.781027081532686
9,sharedergodic,high,2.06760739923219
9,autoergodic,high,3.91619539811317
11,none,low,7.78136771580399
11,waypoint,low,16.6895670491867
11,directergodic,low,2.41797780254811
11,sharedergodic,low,12.8107644647228
11,autoergodic,low,9.50541140957227
11,none,high,10.1931081709071
11,waypoint,high,7.52395025070436
11,directergodic,high,3.31316462877925
11,sharedergodic,high,3.02843671906662
13,none,low,13.9799464864025
13,waypoint,low,6.29497561702036
13,directergodic,low,3.3660755660071
13,sharedergodic,low,5.12682406897923
13,autoergodic,low,5.06227740416488
13,none,high,5.19520256235313
13,waypoint,high,1.00689034374751
13,directergodic,high,1.92851769104206
13,sharedergodic,high,1.28272175026288
13,autoergodic,high,1.34129252306904
14,none,low,0.781009115824631
14,waypoint,low,2.03206157792627
14,directergodic,low,4.52417785582945
14,sharedergodic,low,3.09569849677795
14,autoergodic,low,1.48248264964286
14,none,high,16.895606469239
14,waypoint,high,2.13409016756576
14,directergodic,high,0.795228910662935
14,sharedergodic,high,5.32015629666196
14,autoergodic,high,1.28575793929315
15,none,low,0.857036359389991
15,directergodic,low,0.532579994372939
15,sharedergodic,low,1.11022302462516E-16
15,autoergodic,low,3.60358099006011
15,none,high,3.8928190922056
15,waypoint,high,0.200676111534004
15,directergodic,high,3.35831584203213
