Subject,Control,Complexity,N_observations
01,waypoint,low,22
01,directergodic,low,37
01,sharedergodic,low,69
01,autoergodic,low,90
01,waypoint,high,24
01,directergodic,high,22
01,sharedergodic,high,68
01,autoergodic,high,83
03,directergodic,low,52
03,autoergodic,high,74
04,waypoint,low,29
04,directergodic,low,30
05,waypoint,low,35
07,waypoint,low,26
07,directergodic,low,67
07,sharedergodic,low,76
07,autoergodic,low,67
07,waypoint,high,32
07,directergodic,high,44
07,sharedergodic,high,61
07,autoergodic,high,68
08,waypoint,low,30
08,directergodic,low,49
08,sharedergodic,low,70
08,autoergodic,low,69
08,waypoint,high,26
08,directergodic,high,44
08,sharedergodic,high,70
08,autoergodic,high,63
09,waypoint,low,24
09,directergodic,low,69
09,sharedergodic,low,65
09,autoergodic,low,82
09,waypoint,high,38
09,directergodic,high,47
09,sharedergodic,high,72
09,autoergodic,high,90
10,waypoint,high,15
10,directergodic,high,45
10,autoergodic,high,75
11,waypoint,low,33
11,directergodic,low,60
11,sharedergodic,low,71
11,autoergodic,low,84
11,waypoint,high,31
11,directergodic,high,68
11,sharedergodic,high,83
11,autoergodic,high,77
13,waypoint,low,38
13,directergodic,low,64
13,sharedergodic,low,81
13,autoergodic,low,63
13,waypoint,high,37
13,directergodic,high,50
13,sharedergodic,high,81
13,autoergodic,high,86
14,waypoint,low,39
14,directergodic,low,83
14,sharedergodic,low,70
14,autoergodic,low,83
14,waypoint,high,34
14,directergodic,high,51
14,sharedergodic,high,70
14,autoergodic,high,71
15,directergodic,low,40
15,sharedergodic,low,73
15,autoergodic,low,74
15,waypoint,high,34
15,directergodic,high,47
15,sharedergodic,high,70
15,autoergodic,high,83
17,waypoint,low,32
17,directergodic,low,60
17,sharedergodic,low,63
17,autoergodic,low,75
17,waypoint,high,32
17,directergodic,high,45
17,sharedergodic,high,89
17,autoergodic,high,66
18,waypoint,low,32
18,directergodic,low,44
18,sharedergodic,low,65
18,autoergodic,low,72
18,waypoint,high,30
18,directergodic,high,53
18,sharedergodic,high,70
18,autoergodic,high,62
19,waypoint,low,33
19,directergodic,low,48
19,autoergodic,low,80
19,waypoint,high,24
19,sharedergodic,high,74
19,autoergodic,high,76
20,waypoint,low,44
20,directergodic,low,40
20,sharedergodic,low,66
20,autoergodic,low,77
20,waypoint,high,45
20,directergodic,high,44
20,sharedergodic,high,73
20,autoergodic,high,82
21,waypoint,low,27
21,directergodic,low,66
21,sharedergodic,low,76
21,autoergodic,low,66
21,waypoint,high,39
21,directergodic,high,48
21,sharedergodic,high,66
21,autoergodic,high,71
22,waypoint,low,35
22,directergodic,low,32
22,sharedergodic,low,55
22,autoergodic,low,70
22,waypoint,high,23
22,directergodic,high,52
22,sharedergodic,high,64
22,autoergodic,high,88
23,waypoint,low,28
23,directergodic,low,57
23,sharedergodic,low,57
23,autoergodic,low,60
23,waypoint,high,32
23,directergodic,high,50
23,sharedergodic,high,66
23,autoergodic,high,72
24,waypoint,low,35
24,directergodic,low,32
24,sharedergodic,low,79
24,autoergodic,low,77
24,waypoint,high,22
24,directergodic,high,37
24,sharedergodic,high,65
24,autoergodic,high,56
25,waypoint,low,28
25,directergodic,low,57
25,sharedergodic,low,55
25,autoergodic,low,84
25,waypoint,high,34
25,directergodic,high,47
25,sharedergodic,high,68
25,autoergodic,high,74
26,waypoint,low,29
26,directergodic,low,57
26,sharedergodic,low,64
26,autoergodic,low,66
26,waypoint,high,24
26,directergodic,high,56
26,sharedergodic,high,69
26,autoergodic,high,75
27,waypoint,low,50
27,directergodic,low,64
27,sharedergodic,low,82
27,autoergodic,low,76
27,waypoint,high,47
27,directergodic,high,69
27,sharedergodic,high,81
27,autoergodic,high,44
28,waypoint,low,40
28,directergodic,low,59
28,sharedergodic,low,50
28,autoergodic,low,72
28,waypoint,high,39
28,directergodic,high,47
28,sharedergodic,high,47
28,autoergodic,high,61
29,waypoint,low,32
29,directergodic,low,59
29,sharedergodic,low,52
29,autoergodic,low,72
29,waypoint,high,43
29,directergodic,high,49
29,sharedergodic,high,71
29,autoergodic,high,60
30,waypoint,low,26
30,directergodic,low,46
