Subject,Perweek,Lifetime,ControlRank,MethodRank,
31,0,2,shared',shade',0.301029996
23,0,5,direct',shade',0.698970004
16,0,50,,,1.698970004
19,0,50,,,1.698970004
33,0,72,shared',shade',1.857332496
38,0,80,auto',none',1.903089987
30,0,400,shared',shade',2.602059991
42,0,416,direct',shade',2.619093331
39,0,580,shared',shade',2.763427994
12,,,,,
13,8,1000,shared',none',3
28,0,1000,shared',shade',3
21,0,1200,shared',shade',3.079181246
25,0,1500,shared',shade',3.176091259
32,10,1750,auto',shade',3.243038049
20,2.5,2000,shared',shade',3.301029996
24,0,2000,shared',shade',3.301029996
26,0,2028,direct',shade',3.307067951
41,9,2600,direct',shade',3.414973348
27,2.5,3896,shared',shade',3.590618948
37,5,3900,auto',path',3.591064607
15,2,3952,direct',shade',3.596816936
22,0,5200,shared',shade',3.716003344
11,4,5772,,,3.761326322
14,8,6000,auto',none',3.77815125
36,10,7800,auto',none',3.892094603
29,5,10000,direct',shade',4
35,0,14560,shared',shade',4.163161375
17,4,15000,shared',shade',4.176091259
34,8,15236,shared',shade',4.182870964
18,17.51,16200,shared',shade',4.209515015
40,5,26520,auto',none',4.42357352
1,35,41860,shared',shade',4.621799224
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
