Subject,Control,Complexity,Trial,Skill,Perweek,Lifetime,Expertise,Alllow,Allhigh,RR
Sub01,none,low,trial0,0,35,41860,expert,1,1,734.5343511450383
Sub01,waypoint,low,trial1,0,35,41860,expert,1,1,723.731829573935
Sub01,directergodic,low,trial2,0,35,41860,expert,1,1,728.469696969697
Sub01,sharedergodic,low,trial3,0,35,41860,expert,1,1,714.5767326732672
Sub01,autoergodic,low,trial4,0,35,41860,expert,1,1,735.6768447837151
Sub01,none,high,trial5,0,35,41860,expert,1,1,732.0228426395938
Sub01,waypoint,high,trial6,0,35,41860,expert,1,1,714.8118811881187
Sub01,directergodic,high,trial7,0,35,41860,expert,1,1,717.8308457711443
Sub01,sharedergodic,high,trial8,0,35,41860,expert,1,1,720.2219451371571
Sub01,autoergodic,high,trial9,0,35,41860,expert,1,1,735.1505102040817
Sub07,none,low,trial0,0,0,200,novice,1,1,1059.4908424908424
Sub07,waypoint,low,trial1,0,0,200,novice,1,1,1093.814393939394
Sub07,directergodic,low,trial2,0,0,200,novice,1,1,1013.4561403508773
Sub07,sharedergodic,low,trial3,0,0,200,novice,1,1,1102.030534351145
Sub07,autoergodic,low,trial4,0,0,200,novice,1,1,1125.31906614786
Sub07,none,high,trial5,0,0,200,novice,1,1,1033.4035714285717
Sub07,waypoint,high,trial6,0,0,200,novice,1,1,1116.127413127413
Sub07,directergodic,high,trial7,0,0,200,novice,1,1,1069.7518518518518
Sub07,sharedergodic,high,trial8,0,0,200,novice,1,1,1087.6150943396226
Sub07,autoergodic,high,trial9,0,0,200,novice,1,1,1071.8773234200744
Sub08,none,low,trial0,0,5.5,1000,expert,1,1,878.1914893617021
Sub08,waypoint,low,trial1,0,5.5,1000,expert,1,1,743.7113402061856
Sub08,directergodic,low,trial2,0,5.5,1000,expert,1,1,900.3115264797508
Sub08,sharedergodic,low,trial3,0,5.5,1000,expert,1,1,862.7283582089552
Sub08,autoergodic,low,trial4,0,5.5,1000,expert,1,1,908.8548895899054
