Subject,Control,Density,Trial,Perweek,Lifetime,Expertise,Lives,Treasure,Input,Score,Difficulty,RR_mean,RR_Zscore,MDP_r,P_switch,norm_mean,norm_bestpath,norm_userpath,P_switch_cum,norm_cum,norm_bestpath_cum,norm_userpath_cum,N_obs,Include_Input,Include_Score,Include_Difficulty,Include_RR_mean,Include_MDP_r,Include_P_switch,Include_P_switch_cum,Include_N_obs
Sub01,none,low,trial0,35,41860,expert,7.0,5.0,0.0,26.0,9.0,734.534351145038,1.09321662975435,6.55778722549574,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,True,True,True,True,True,True
Sub01,waypoint,low,trial1,35,41860,expert,7.0,4.0,7.0,25.0,10.0,723.731829573935,-0.24396938758966,8.07995969444627,0.25862068965517243,0.8720817988683242,0.29707567612320634,0.3196474151709692,0.3333333333333333,0.7317968528308096,0.2413244719463431,0.31201757002318,22.0,True,True,True,True,True,True,True,True
Sub01,directergodic,low,trial2,35,41860,expert,7.0,4.0,6.0,25.0,8.0,728.469696969697,0.34250572305399,1.1597551430685,0.3220338983050847,1.3612000340914774,0.5923848836008537,0.6311113982215437,0.26666666666666666,1.1580135401039804,0.3181541707569618,0.6074563629988483,37.0,True,True,True,True,True,True,True,True
Sub01,sharedergodic,low,trial3,35,41860,expert,8.0,5.0,4.0,29.0,9.0,714.576732673267,-1.37722956970766,1.73165217100133,0.39759036144578314,0.548334558867957,0.22144197228467585,0.22066764542738643,0.4,0.6663286771162477,0.2299631801275948,0.2581592637486395,69.0,True,True,True,True,True,True,True,True
Sub01,autoergodic,low,trial4,35,41860,expert,8.0,5.0,0.0,29.0,10.0,735.676844783715,1.23463976957292,7.38439888461342,0.31896551724137934,0.8601439189297838,0.28146949668149857,0.3430741717759488,0.4642857142857143,1.247451265566098,0.3894210288820377,0.4822368988037051,90.0,True,True,True,True,True,True,True,True
Sub01,none,high,trial5,35,41860,expert,8.0,4.0,0.0,28.0,10.0,732.022842639594,0.782330506193706,1.52783288057417,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,True,True,True,True,True,True
Sub01,waypoint,high,trial6,35,41860,expert,7.0,3.0,8.0,24.0,10.0,714.811881188119,-1.34812180037909,9.40515573523778,0.19230769230769232,0.949597330688695,0.3990759391197398,0.4511954709044328,0.18181818181818182,0.839126134327665,0.2940488313525772,0.37532150893971983,24.0,True,True,True,True,True,True,True,True
Sub01,directergodic,high,trial7,35,41860,expert,6.0,3.0,6.0,21.0,8.0,717.830845771144,-0.974420419575818,3.69365467479699,0.2777777777777778,0.8459327764474662,0.3260006998248326,0.34327016377439945,0.25,1.0851059691383769,0.40548929585960486,0.48002818470756203,22.0,True,True,True,True,True,True,True,True
Sub01,sharedergodic,high,trial8,35,41860,expert,8.0,5.0,3.0,29.0,7.5,720.221945137157,-0.67843909546854,5.82336893172517,0.33783783783783783,0.7154456317581254,0.2926885274550891,0.35458687950721385,0.4074074074074074,0.7164793372371164,0.3426134258130435,0.32729864603686204,68.0,True,True,True,True,True,True,True,True
Sub01,autoergodic,high,trial9,35,41860,expert,6.0,5.0,0.0,23.0,10.0,735.150510204082,1.16948764414574,2.18630970870957,0.35,1.1004591608330596,0.4258565957124387,0.43349752829411226,0.42857142857142855,1.4384601995291206,0.5557355998939673,0.6068468070076517,83.0,True,True,True,True,True,True,True,True
