Subject,Perweek,Lifetime,ControlRank,MethodRank
1,35,41860,shared',shade'
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,0,200,,
8,5.5,1000,,
9,2,5000,,
10,,,,
11,4,5772,,
12,0,700,,
13,8,1000,shared',none'
14,8,6000,auto',none'
15,2,3952,direct',shade'
16,0,50,,
17,4,15000,shared',shade'
18,17.51,16200,shared',shade'
19,0,50,,
20,2.5,2000,shared',shade'
21,0,1200,shared',shade'
22,0,5200,shared',shade'
23,0,5,direct',shade'
24,0,2000,shared',shade'
25,0,1500,shared',shade'
26,0,2028,direct',shade'
27,2.5,3896,shared',shade'
28,0,1000,shared',shade'
29,5,10000,direct',shade'
30,0,400,shared',shade'
31,0,2,shared',shade'
32,10,1750,auto',shade'
33,0,72,shared',shade'
34,8,15236,shared',shade'
35,0,14560,shared',shade'
36,10,7800,auto',none'
37,5,3900,auto',path'
38,0,80,auto',none'
39,0,580,shared',shade'
40,5,26520,auto',none'
41,9,2600,direct',shade'
42,0,416,direct',shade'
